table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts)				
Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2022				
Geographic Area	April 1, 2020 Estimates Base	Population Estimate (as of July 1)		
.Shawnee County, Kansas	178,909	178,698	178,367	177,480
.Sheridan County, Kansas	2,448	2,451	2,452	2,425
.Sherman County, Kansas	5,928	5,895	5,911	5,830
.Smith County, Kansas	3,560	3,552	3,555	3,533
.Stafford County, Kansas	4,070	4,055	4,008	3,993
.Stanton County, Kansas	2,085	2,083	2,041	1,963
.Stevens County, Kansas	5,252	5,246	5,299	5,175
.Sumner County, Kansas	22,392	22,342	22,386	22,473
.Thomas County, Kansas	7,933	7,933	7,942	7,893
.Trego County, Kansas	2,807	2,805	2,792	2,752
.Wabaunsee County, Kansas	6,872	6,885	6,969	7,019
.Wallace County, Kansas	1,517	1,517	1,514	1,488
.Washington County, Kansas	5,532	5,532	5,526	5,501
.Wichita County, Kansas	2,153	2,149	2,081	2,064
.Wilson County, Kansas	8,625	8,576	8,537	8,622
.Woodson County, Kansas	3,115	3,091	3,076	3,109
.Wyandotte County, Kansas	169,230	168,904	167,290	165,746
.Adair County, Kentucky	18,903	18,880	18,953	19,067
.Allen County, Kentucky	20,580	20,573	20,828	21,275
.Anderson County, Kentucky	23,851	23,870	24,043	24,224
.Ballard County, Kentucky	7,730	7,712	7,690	7,650
.Barren County, Kentucky	44,482	44,502	44,599	44,854
.Bath County, Kentucky	12,747	12,716	12,774	12,829
.Bell County, Kentucky	24,102	23,984	23,765	23,568
.Boone County, Kentucky	135,995	136,465	137,760	139,093
.Bourbon County, Kentucky	20,250	20,290	20,218	20,093
.Boyd County, Kentucky	48,253	48,197	47,767	48,110
.Boyle County, Kentucky	30,619	30,753	30,649	30,904
.Bracken County, Kentucky	8,403	8,402	8,446	8,452
.Breathitt County, Kentucky	13,717	13,694	13,527	13,351
.Breckinridge County, Kentucky	20,433	20,443	20,652	20,943
.Bullitt County, Kentucky	82,226	82,355	83,076	83,836
.Butler County, Kentucky	12,371	12,318	12,279	12,295
.Caldwell County, Kentucky	12,648	12,634	12,644	12,570
.Calloway County, Kentucky	37,098	37,145	37,489	37,685
.Campbell County, Kentucky	93,075	93,129	92,856	93,300
.Carlisle County, Kentucky	4,819	4,806	4,760	4,720
.Carroll County, Kentucky	10,809	10,836	10,884	10,938
.Carter County, Kentucky	26,626	26,607	26,432	26,395
.Casey County, Kentucky	15,946	15,924	15,951	15,920
.Christian County, Kentucky	72,818	72,768	73,221	73,037
.Clark County, Kentucky	36,993	37,037	36,925	37,061
.Clay County, Kentucky	20,339	20,310	20,184	19,913
.Clinton County, Kentucky	9,253	9,232	9,288	9,123
.Crittenden County, Kentucky	8,988	9,002	8,939	8,981
.Cumberland County, Kentucky	5,887	5,860	5,892	5,946
.Daviess County, Kentucky	103,320	103,391	103,140	103,222
.Edmonson County, Kentucky	12,133	12,153	12,213	12,269
.Elliott County, Kentucky	7,352	7,333	7,375	7,293
.Estill County, Kentucky	14,166	14,161	14,090	14,044
.Fayette County, Kentucky	322,567	322,613	320,473	320,347
.Fleming County, Kentucky	15,086	15,098	15,268	15,288
.Floyd County, Kentucky	35,948	35,804	35,300	34,978
.Franklin County, Kentucky	51,539	51,589	51,683	51,607
.Fulton County, Kentucky	6,515	6,512	6,513	6,382
.Gallatin County, Kentucky	8,693	8,672	8,766	8,763
.Garrard County, Kentucky	16,949	16,965	17,385	17,589
.Grant County, Kentucky	24,946	25,014	25,302	25,502
.Graves County, Kentucky	36,657	36,527	36,634	36,412
.Grayson County, Kentucky	26,418	26,454	26,582	26,631
.Green County, Kentucky	11,109	11,130	11,308	11,365
.Greenup County, Kentucky	35,970	35,887	35,682	35,403
.Hancock County, Kentucky	9,097	9,105	9,083	9,021
.Hardin County, Kentucky	110,694	110,816	111,766	111,862
.Harlan County, Kentucky	26,833	26,752	26,177	25,662
.Harrison County, Kentucky	18,692	18,718	18,964	19,103
.Hart County, Kentucky	19,281	19,289	19,485	19,600
.Henderson County, Kentucky	44,791	44,668	44,417	44,046
.Henry County, Kentucky	15,682	15,697	15,704	15,771
.Hickman County, Kentucky	4,523	4,530	4,430	4,422
.Hopkins County, Kentucky	45,422	45,366	45,096	44,812
.Jackson County, Kentucky	12,958	12,962	12,987	12,973
.Jefferson County, Kentucky	782,956	782,783	777,378	773,399
.Jessamine County, Kentucky	52,987	53,016	53,609	54,254
.Johnson County, Kentucky	22,679	22,644	22,539	22,244
.Kenton County, Kentucky	169,028	169,246	169,734	170,313
.Knott County, Kentucky	14,253	14,163	14,033	13,874
.Knox County, Kentucky	30,196	30,183	30,019	29,791
.Larue County, Kentucky	14,869	14,877	15,024	15,163
.Laurel County, Kentucky	62,613	62,728	62,592	62,885
.Lawrence County, Kentucky	16,293	16,303	16,268	16,109
.Lee County, Kentucky	7,394	7,372	7,454	7,261
.Leslie County, Kentucky	10,516	10,471	10,298	10,093
.Letcher County, Kentucky	21,551	21,465	21,245	20,893
.Lewis County, Kentucky	13,079	13,082	13,006	12,954
.Lincoln County, Kentucky	24,276	24,249	24,227	24,360
.Livingston County, Kentucky	8,892	8,873	8,984	8,963
.Logan County, Kentucky	27,433	27,515	27,815	27,877
.Lyon County, Kentucky	8,683	8,678	8,436	9,101
.McCracken County, Kentucky	67,871	67,911	67,612	67,490
.McCreary County, Kentucky	16,887	16,857	16,681	16,701
.McLean County, Kentucky	9,152	9,134	9,127	9,105
.Madison County, Kentucky	92,707	92,983	93,473	95,187
.Magoffin County, Kentucky	11,639	11,604	11,476	11,357
.Marion County, Kentucky	19,577	19,588	19,758	19,775
.Marshall County, Kentucky	31,661	31,685	31,820	31,777
.Martin County, Kentucky	11,287	11,249	11,157	11,095
.Mason County, Kentucky	17,121	17,130	16,965	16,930
.Meade County, Kentucky	30,011	30,030	30,132	30,001
.Menifee County, Kentucky	6,114	6,135	6,209	6,250
.Mercer County, Kentucky	22,643	22,652	22,872	22,902
.Metcalfe County, Kentucky	10,288	10,286	10,363	10,370
.Monroe County, Kentucky	11,336	11,316	11,269	11,355
.Montgomery County, Kentucky	28,104	28,104	28,231	28,367
.Morgan County, Kentucky	13,724	13,729	13,682	14,120
.Muhlenberg County, Kentucky	30,930	30,886	30,072	30,455
.Nelson County, Kentucky	46,737	46,784	47,149	47,392
.Nicholas County, Kentucky	7,532	7,540	7,750	7,805
.Ohio County, Kentucky	23,772	23,746	23,730	23,527
.Oldham County, Kentucky	67,609	67,692	68,232	69,431
.Owen County, Kentucky	11,271	11,304	11,307	11,290
.Owsley County, Kentucky	4,052	4,031	3,967	3,929
.Pendleton County, Kentucky	14,652	14,652	14,611	14,676
.Perry County, Kentucky	28,465	28,360	27,906	27,361
.Pike County, Kentucky	58,663	58,443	57,362	56,286
.Powell County, Kentucky	13,128	13,095	13,110	13,083
.Pulaski County, Kentucky	65,033	65,104	65,561	65,795
.Robertson County, Kentucky	2,192	2,181	2,250	2,229
.Rockcastle County, Kentucky	16,042	16,064	16,151	16,242
.Rowan County, Kentucky	24,654	24,716	24,586	24,388
.Russell County, Kentucky	17,990	17,995	18,195	18,178
.Scott County, Kentucky	57,153	57,520	58,312	59,099
.Shelby County, Kentucky	48,101	48,243	48,580	48,886
.Simpson County, Kentucky	19,595	19,626	19,716	19,949
.Spencer County, Kentucky	19,433	19,510	19,895	20,204
.Taylor County, Kentucky	26,019	26,000	26,158	26,407
.Todd County, Kentucky	12,249	12,289	12,321	12,404
.Trigg County, Kentucky	14,057	14,080	14,202	14,332
.Trimble County, Kentucky	8,470	8,461	8,553	8,539
.Union County, Kentucky	13,670	13,665	13,166	12,961
.Warren County, Kentucky	134,551	135,013	137,148	139,843
.Washington County, Kentucky	12,028	12,042	12,091	12,061
.Wayne County, Kentucky	19,559	19,542	19,569	19,681
.Webster County, Kentucky	13,014	13,017	12,857	12,726
.Whitley County, Kentucky	36,715	36,695	36,699	36,873
.Wolfe County, Kentucky	6,561	6,556	6,491	6,400
.Woodford County, Kentucky	26,874	26,902	27,090	27,062
.Acadia Parish, Louisiana	57,569	57,472	57,262	56,744
.Allen Parish, Louisiana	22,751	22,684	22,604	22,320
.Ascension Parish, Louisiana	126,498	126,966	128,502	130,458
.Assumption Parish, Louisiana	21,040	20,957	20,726	20,604
.Avoyelles Parish, Louisiana	39,690	39,638	39,265	38,751
.Beauregard Parish, Louisiana	36,554	36,600	36,619	36,570
.Bienville Parish, Louisiana	12,989	12,918	12,800	12,641
.Bossier Parish, Louisiana	128,736	128,717	129,402	129,276
.Caddo Parish, Louisiana	237,857	236,928	232,741	229,025
.Calcasieu Parish, Louisiana	216,779	216,465	205,095	202,418
.Caldwell Parish, Louisiana	9,642	9,611	9,593	9,554
.Cameron Parish, Louisiana	5,619	5,623	5,099	4,902
.Catahoula Parish, Louisiana	8,903	8,841	8,712	8,566
.Claiborne Parish, Louisiana	14,168	14,103	13,990	13,744
.Concordia Parish, Louisiana	18,681	18,568	18,373	18,116
.De Soto Parish, Louisiana	26,809	26,838	26,934	26,853
.East Baton Rouge Parish, Louisiana	456,781	455,886	453,653	450,544
.East Carroll Parish, Louisiana	7,460	7,397	7,242	6,990
.East Feliciana Parish, Louisiana	19,536	19,450	19,319	19,135
.Evangeline Parish, Louisiana	32,351	32,304	32,190	31,986
.Franklin Parish, Louisiana	19,774	19,712	19,593	19,308
.Grant Parish, Louisiana	22,163	22,135	22,212	22,000
.Iberia Parish, Louisiana	70,293	70,054	69,298	68,327
.Iberville Parish, Louisiana	30,240	30,058	29,713	29,506
.Jackson Parish, Louisiana	15,034	14,997	14,922	14,839
.Jefferson Parish, Louisiana	440,794	439,712	433,929	425,884
.Jefferson Davis Parish, Louisiana	32,250	32,210	32,413	32,026
.Lafayette Parish, Louisiana	241,756	242,148	244,922	247,866
.Lafourche Parish, Louisiana	97,552	97,434	97,537	95,870
.LaSalle Parish, Louisiana	14,797	14,822	14,793	14,729
.Lincoln Parish, Louisiana	48,398	48,304	48,153	48,129
.Livingston Parish, Louisiana	142,284	142,824	146,230	148,425
.Madison Parish, Louisiana	10,015	9,923	9,804	9,478
.Morehouse Parish, Louisiana	25,629	25,453	25,000	24,446
.Natchitoches Parish, Louisiana	37,519	37,388	36,995	36,663
.Orleans Parish, Louisiana	383,998	383,218	377,063	369,749
.Ouachita Parish, Louisiana	160,364	160,096	158,919	157,702
.Plaquemines Parish, Louisiana	23,515	23,458	23,284	22,516
.Pointe Coupee Parish, Louisiana	20,757	20,670	20,323	20,151
.Rapides Parish, Louisiana	130,030	129,657	128,748	127,189
.Red River Parish, Louisiana	7,624	7,587	7,490	7,420
.Richland Parish, Louisiana	20,049	20,032	19,890	19,826
.Sabine Parish, Louisiana	22,144	22,093	22,098	21,985
.St. Bernard Parish, Louisiana	43,766	43,853	44,330	44,479
.St. Charles Parish, Louisiana	52,548	52,507	52,405	50,998
.St. Helena Parish, Louisiana	10,925	10,901	10,921	10,822
.St. James Parish, Louisiana	20,194	20,117	19,790	19,423
.St. John the Baptist Parish, Louisiana	42,477	42,355	42,021	39,864
.St. Landry Parish, Louisiana	82,552	82,302	82,283	81,773
.St. Martin Parish, Louisiana	51,766	51,628	51,573	51,236
.St. Mary Parish, Louisiana	49,405	49,143	48,188	47,789
.St. Tammany Parish, Louisiana	264,575	264,986	270,087	273,263
.Tangipahoa Parish, Louisiana	133,149	133,635	135,508	137,048
.Tensas Parish, Louisiana	4,147	4,107	4,034	3,846
.Terrebonne Parish, Louisiana	109,583	109,405	109,013	104,786
.Union Parish, Louisiana	21,106	21,090	20,996	20,721
.Vermilion Parish, Louisiana	56,973	56,918	56,854	56,952
.Vernon Parish, Louisiana	48,754	48,625	48,056	47,247
.Washington Parish, Louisiana	45,456	45,344	45,176	45,025
.Webster Parish, Louisiana	36,963	36,875	36,024	35,643
.West Baton Rouge Parish, Louisiana	27,201	27,258	27,805	28,034
.West Carroll Parish, Louisiana	9,755	9,693	9,596	9,475
.West Feliciana Parish, Louisiana	15,307	15,250	15,481	15,381
.Winn Parish, Louisiana	13,755	13,721	13,507	13,205
.Androscoggin County, Maine	111,147	111,180	112,648	113,023
.Aroostook County, Maine	67,107	67,064	67,022	67,255
.Cumberland County, Maine	303,076	303,570	306,149	307,451
.Franklin County, Maine	29,447	29,460	30,275	30,474
.Hancock County, Maine	55,477	55,500	56,403	56,701
.Kennebec County, Maine	123,636	123,832	124,824	125,540
.Knox County, Maine	40,608	40,657	41,074	41,164
.Lincoln County, Maine	35,240	35,249	35,985	36,215
.Oxford County, Maine	57,766	57,894	58,719	59,495
.Penobscot County, Maine	152,202	152,165	152,834	153,704
.Piscataquis County, Maine	16,799	16,805	17,184	17,417
.Sagadahoc County, Maine	36,699	36,724	37,190	37,393
.Somerset County, Maine	50,472	50,460	50,715	51,098
.Waldo County, Maine	39,596	39,654	39,984	40,241
.Washington County, Maine	31,088	31,087	31,166	31,437
.York County, Maine	211,981	212,256	215,066	216,732
.Allegany County, Maryland	68,115	67,955	67,691	67,267
.Anne Arundel County, Maryland	588,265	589,054	592,052	593,286
.Baltimore County, Maryland	854,554	853,325	850,634	846,161
.Calvert County, Maryland	92,785	92,905	94,226	94,573
.Caroline County, Maryland	33,299	33,273	33,413	33,433
.Carroll County, Maryland	172,890	172,923	174,208	175,305
.Cecil County, Maryland	103,726	103,793	104,096	104,942
.Charles County, Maryland	166,621	166,726	168,870	170,102
.Dorchester County, Maryland	32,530	32,528	32,625	32,726
.Frederick County, Maryland	271,709	272,765	280,410	287,079
.Garrett County, Maryland	28,804	28,792	28,757	28,579
.Harford County, Maryland	260,924	261,213	263,292	263,867
.Howard County, Maryland	332,316	332,786	335,287	335,411
.Kent County, Maryland	19,195	19,114	19,254	19,320
.Montgomery County, Maryland	1,062,054	1,060,825	1,055,924	1,052,521
.Prince George's County, Maryland	967,194	965,290	956,254	946,971
.Queen Anne's County, Maryland	49,871	50,023	50,900	51,711
.St. Mary's County, Maryland	113,775	113,987	114,664	114,877
.Somerset County, Maryland	24,618	24,564	24,528	24,546
.Talbot County, Maryland	37,520	37,481	37,796	37,932
.Washington County, Maryland	154,709	154,677	155,197	155,590
.Wicomico County, Maryland	103,586	103,556	104,181	104,664
.Worcester County, Maryland	52,460	52,511	53,370	53,866
.Baltimore city, Maryland	585,693	583,139	576,981	569,931
.Barnstable County, Massachusetts	229,004	228,856	232,594	232,457
.Berkshire County, Massachusetts	129,036	128,774	128,621	127,859
.Bristol County, Massachusetts	579,210	576,737	579,895	580,068
.Dukes County, Massachusetts	20,595	20,579	21,109	20,868
.Essex County, Massachusetts	809,818	808,491	807,485	806,765
.Franklin County, Massachusetts	71,035	70,930	70,943	70,894
.Hampden County, Massachusetts	465,834	464,407	462,849	461,041
.Hampshire County, Massachusetts	162,305	146,592	163,088	162,588
.Middlesex County, Massachusetts	1,632,002	1,628,671	1,617,099	1,617,105
.Nantucket County, Massachusetts	14,251	14,237	14,499	14,421
.Norfolk County, Massachusetts	725,999	724,322	724,692	725,531
.Plymouth County, Massachusetts	530,820	530,154	532,919	533,069
.Suffolk County, Massachusetts	797,941	793,271	771,765	766,381
.Worcester County, Massachusetts	862,099	859,708	862,132	862,927
.Alcona County, Michigan	10,167	10,189	10,300	10,417
.Alger County, Michigan	8,837	8,842	8,789	8,807
.Allegan County, Michigan	120,499	120,647	121,010	121,210
.Alpena County, Michigan	28,909	28,880	28,916	28,847
.Antrim County, Michigan	23,428	23,459	23,884	24,249
.Arenac County, Michigan	15,007	15,003	15,000	15,089
.Baraga County, Michigan	8,149	8,140	8,291	8,277
.Barry County, Michigan	62,428	62,598	63,170	63,554
.Bay County, Michigan	103,856	103,733	103,251	102,821
.Benzie County, Michigan	17,973	17,997	18,236	18,297
.Berrien County, Michigan	154,320	154,183	153,377	152,900
.Branch County, Michigan	44,860	44,868	45,202	44,531
.Calhoun County, Michigan	134,293	134,184	133,878	133,289
.Cass County, Michigan	51,591	51,550	51,501	51,403
.Charlevoix County, Michigan	26,051	26,034	26,215	26,293
.Cheboygan County, Michigan	25,586	25,584	25,735	25,940
.Chippewa County, Michigan	36,784	36,781	35,867	36,293
.Clare County, Michigan	30,857	30,834	31,128	31,352
.Clinton County, Michigan	79,123	79,157	79,499	79,748
.Crawford County, Michigan	12,994	12,993	13,292	13,491
.Delta County, Michigan	36,896	36,860	36,834	36,741
.Dickinson County, Michigan	25,952	25,898	25,795	25,874
.Eaton County, Michigan	109,174	109,176	109,030	108,992
.Emmet County, Michigan	34,105	34,104	34,280	34,163
.Genesee County, Michigan	406,217	405,757	404,662	401,983
.Gladwin County, Michigan	25,386	25,375	25,528	25,728
.Gogebic County, Michigan	14,377	14,346	14,356	14,319
.Grand Traverse County, Michigan	95,246	95,411	96,013	96,464
.Gratiot County, Michigan	41,752	41,667	41,269	41,100
.Hillsdale County, Michigan	45,759	45,733	45,609	45,762
.Houghton County, Michigan	37,360	37,238	37,444	37,035
.Huron County, Michigan	31,408	31,371	31,354	31,248
.Ingham County, Michigan	284,891	284,640	271,427	284,108
.Ionia County, Michigan	66,793	66,855	66,797	66,809
.Iosco County, Michigan	25,230	25,185	25,374	25,521
.Iron County, Michigan	11,628	11,628	11,576	11,622
.Isabella County, Michigan	64,396	64,513	64,291	64,447
.Jackson County, Michigan	160,375	160,225	160,266	160,066
.Kalamazoo County, Michigan	261,663	261,767	260,688	261,173
.Kalkaska County, Michigan	17,928	17,916	17,958	18,182
.Kent County, Michigan	657,984	658,460	659,000	659,083
.Keweenaw County, Michigan	2,055	2,068	2,118	2,180
.Lake County, Michigan	12,100	12,094	12,261	12,594
.Lapeer County, Michigan	88,615	88,572	88,686	88,780
.Leelanau County, Michigan	22,304	22,312	22,630	22,870
.Lenawee County, Michigan	99,424	99,320	99,202	98,567
.Livingston County, Michigan	193,869	193,971	195,277	196,161
.Luce County, Michigan	5,339	5,336	5,337	5,330
.Mackinac County, Michigan	10,831	10,816	10,899	10,941
.Macomb County, Michigan	881,219	880,176	877,385	874,195
.Manistee County, Michigan	25,029	25,061	25,299	25,287
.Marquette County, Michigan	66,020	66,012	65,800	66,661
.Mason County, Michigan	29,063	29,038	29,381	29,409
.Mecosta County, Michigan	39,713	39,792	40,057	40,720
.Menominee County, Michigan	23,500	23,450	23,323	23,266
.Midland County, Michigan	83,498	83,481	83,426	83,674
.Missaukee County, Michigan	15,048	15,057	15,164	15,213
.Monroe County, Michigan	154,812	154,893	155,646	155,609
.Montcalm County, Michigan	66,622	66,648	67,458	67,433
.Montmorency County, Michigan	9,154	9,164	9,302	9,569
.Muskegon County, Michigan	175,814	175,848	176,612	176,565
.Newaygo County, Michigan	49,971	50,095	50,468	50,886
.Oakland County, Michigan	1,274,395	1,272,413	1,271,891	1,269,431
.Oceana County, Michigan	26,658	26,713	26,884	26,973
.Ogemaw County, Michigan	20,769	20,779	20,783	20,970
.Ontonagon County, Michigan	5,814	5,805	5,855	5,863
.Osceola County, Michigan	22,890	22,906	23,176	23,274
.Oscoda County, Michigan	8,225	8,239	8,328	8,404
.Otsego County, Michigan	25,095	25,138	25,351	25,644
.Ottawa County, Michigan	296,207	296,889	298,317	300,873
.Presque Isle County, Michigan	12,981	12,997	13,173	13,361
.Roscommon County, Michigan	23,450	23,466	23,677	23,708
.Saginaw County, Michigan	190,128	189,860	189,590	188,330
.St. Clair County, Michigan	160,382	160,375	160,384	160,151
.St. Joseph County, Michigan	60,939	60,931	60,850	60,874
.Sanilac County, Michigan	40,619	40,502	40,604	40,657
.Schoolcraft County, Michigan	8,049	8,056	8,060	8,188
.Shiawassee County, Michigan	68,095	68,006	67,998	68,022
.Tuscola County, Michigan	53,322	53,310	53,046	52,945
.Van Buren County, Michigan	75,593	75,576	75,703	75,692
.Washtenaw County, Michigan	372,265	371,817	364,998	366,376
.Wayne County, Michigan	1,793,549	1,789,129	1,773,073	1,757,043
.Wexford County, Michigan	33,668	33,685	33,940	34,196
.Aitkin County, Minnesota	15,703	15,718	15,945	16,126
.Anoka County, Minnesota	363,892	364,458	367,416	368,864
.Becker County, Minnesota	35,176	35,194	35,326	35,371
.Beltrami County, Minnesota	46,230	46,243	46,420	46,799
.Benton County, Minnesota	41,381	41,357	41,496	41,463
.Big Stone County, Minnesota	5,168	5,158	5,162	5,144
.Blue Earth County, Minnesota	69,129	69,211	69,361	69,631
.Brown County, Minnesota	25,914	25,903	25,883	25,723
.Carlton County, Minnesota	36,201	36,193	36,455	36,708
.Carver County, Minnesota	106,914	107,284	108,826	110,034
.Cass County, Minnesota	30,065	30,142	30,638	31,274
.Chippewa County, Minnesota	12,594	12,596	12,390	12,284
.Chisago County, Minnesota	56,621	56,713	57,544	57,988
.Clay County, Minnesota	65,309	65,332	65,665	65,929
.Clearwater County, Minnesota	8,521	8,571	8,574	8,649
.Cook County, Minnesota	5,599	5,595	5,623	5,708
.Cottonwood County, Minnesota	11,506	11,509	11,578	11,356
.Crow Wing County, Minnesota	66,122	66,277	67,345	67,948
.Dakota County, Minnesota	439,884	440,393	442,773	443,341
.Dodge County, Minnesota	20,873	20,895	20,964	20,981
.Douglas County, Minnesota	39,002	39,089	39,305	39,668
.Faribault County, Minnesota	13,922	13,901	13,910	13,926
.Fillmore County, Minnesota	21,229	21,234	21,303	21,414
.Freeborn County, Minnesota	30,901	30,902	30,808	30,718
.Goodhue County, Minnesota	47,580	47,575	48,018	48,013
.Grant County, Minnesota	6,075	6,094	6,161	6,136
.Hennepin County, Minnesota	1,281,568	1,281,568	1,266,736	1,260,121
.Houston County, Minnesota	18,849	18,851	18,829	18,800
.Hubbard County, Minnesota	21,348	21,392	21,745	21,960
.Isanti County, Minnesota	41,133	41,385	41,951	42,727
.Itasca County, Minnesota	45,018	45,035	45,058	45,205
.Jackson County, Minnesota	9,992	9,992	10,015	9,893
.Kanabec County, Minnesota	16,027	16,049	16,187	16,463
.Kandiyohi County, Minnesota	43,733	43,726	43,865	43,839
.Kittson County, Minnesota	4,217	4,198	4,162	4,059
.Koochiching County, Minnesota	12,059	12,025	11,944	11,844
.Lac qui Parle County, Minnesota	6,722	6,702	6,715	6,689
.Lake County, Minnesota	10,910	10,918	11,009	10,939
.Lake of the Woods County, Minnesota	3,765	3,764	3,821	3,871
.Le Sueur County, Minnesota	28,672	28,639	28,918	29,153
.Lincoln County, Minnesota	5,644	5,628	5,563	5,580
.Lyon County, Minnesota	25,268	25,170	25,267	25,262
.McLeod County, Minnesota	36,759	36,738	36,807	36,714
.Mahnomen County, Minnesota	5,400	5,372	5,387	5,328
.Marshall County, Minnesota	9,032	9,026	8,979	8,861
.Martin County, Minnesota	20,024	19,982	19,899	19,650
.Meeker County, Minnesota	23,400	23,431	23,391	23,496
.Mille Lacs County, Minnesota	26,467	26,462	26,892	27,280
.Morrison County, Minnesota	34,010	33,995	34,071	34,246
.Mower County, Minnesota	40,034	40,054	40,214	40,140
.Murray County, Minnesota	8,175	8,172	8,145	8,060
.Nicollet County, Minnesota	34,464	34,504	34,373	34,441
.Nobles County, Minnesota	22,294	22,207	22,047	21,947
.Norman County, Minnesota	6,442	6,435	6,442	6,377
.Olmsted County, Minnesota	162,849	163,028	163,620	164,020
.Otter Tail County, Minnesota	60,074	60,072	60,222	60,519
.Pennington County, Minnesota	13,999	13,950	13,806	13,845
.Pine County, Minnesota	28,883	28,889	29,034	29,446
.Pipestone County, Minnesota	9,416	9,414	9,352	9,355
.Polk County, Minnesota	31,194	31,083	30,817	30,731
.Pope County, Minnesota	11,309	11,326	11,418	11,431
.Ramsey County, Minnesota	552,362	551,699	542,861	536,413
.Red Lake County, Minnesota	3,936	3,940	3,932	3,874
.Redwood County, Minnesota	15,419	15,408	15,397	15,361
.Renville County, Minnesota	14,730	14,697	14,628	14,525
.Rice County, Minnesota	67,098	67,086	67,375	67,693
.Rock County, Minnesota	9,701	9,684	9,674	9,537
.Roseau County, Minnesota	15,323	15,293	15,260	15,292
.St. Louis County, Minnesota	200,223	200,064	199,332	199,532
.Scott County, Minnesota	150,930	151,350	153,408	154,520
.Sherburne County, Minnesota	97,186	97,580	99,248	100,824
.Sibley County, Minnesota	14,842	14,810	14,927	14,955
.Stearns County, Minnesota	158,297	158,467	159,144	160,405
.Steele County, Minnesota	37,400	37,375	37,409	37,398
.Stevens County, Minnesota	9,673	9,666	9,704	9,637
.Swift County, Minnesota	9,835	9,804	9,781	9,755
.Todd County, Minnesota	25,253	25,277	25,307	25,538
.Traverse County, Minnesota	3,366	3,361	3,287	3,275
.Wabasha County, Minnesota	21,380	21,400	21,514	21,658
.Wadena County, Minnesota	14,065	14,119	14,184	14,307
.Waseca County, Minnesota	18,966	18,964	18,992	18,893
.Washington County, Minnesota	267,563	268,372	272,610	275,912
.Watonwan County, Minnesota	11,251	11,231	11,158	11,075
.Wilkin County, Minnesota	6,513	6,482	6,410	6,350
.Winona County, Minnesota	49,662	49,640	49,750	49,478
.Wright County, Minnesota	141,336	141,860	145,143	148,003
.Yellow Medicine County, Minnesota	9,533	9,504	9,446	9,486
.Adams County, Mississippi	29,538	29,419	28,804	28,408
.Alcorn County, Mississippi	34,743	34,727	34,429	34,204
.Amite County, Mississippi	12,721	12,699	12,644	12,619
.Attala County, Mississippi	17,885	17,816	17,706	17,509
.Benton County, Mississippi	7,644	7,661	7,630	7,550
.Bolivar County, Mississippi	30,973	30,827	30,180	29,370
.Calhoun County, Mississippi	13,267	13,222	12,936	12,781
.Carroll County, Mississippi	9,995	9,930	9,817	9,731
.Chickasaw County, Mississippi	17,103	17,078	16,973	16,812
.Choctaw County, Mississippi	8,246	8,208	8,113	8,037
.Claiborne County, Mississippi	9,135	9,099	8,898	8,805
.Clarke County, Mississippi	15,615	15,546	15,457	15,271
.Clay County, Mississippi	18,635	18,621	18,500	18,380
.Coahoma County, Mississippi	21,393	21,230	20,732	20,197
.Copiah County, Mississippi	28,371	28,268	27,927	27,719
.Covington County, Mississippi	18,339	18,298	18,250	18,098
.DeSoto County, Mississippi	185,317	186,107	189,042	191,723
.Forrest County, Mississippi	78,163	78,185	77,883	78,110
.Franklin County, Mississippi	7,681	7,665	7,689	7,642
.George County, Mississippi	24,348	24,364	24,793	25,206
.Greene County, Mississippi	13,533	13,530	13,643	13,552
.Grenada County, Mississippi	21,627	21,572	21,312	21,088
.Hancock County, Mississippi	46,047	46,117	46,046	46,094
.Harrison County, Mississippi	208,621	208,811	209,642	211,044
.Hinds County, Mississippi	227,750	226,763	222,508	217,730
.Holmes County, Mississippi	17,001	16,879	16,476	16,121
.Humphreys County, Mississippi	7,790	7,735	7,548	7,333
.Issaquena County, Mississippi	1,335	1,325	1,297	1,273
.Itawamba County, Mississippi	23,861	23,862	23,866	23,903
.Jackson County, Mississippi	143,259	143,377	144,438	144,975
.Jasper County, Mississippi	16,370	16,352	16,265	16,167
.Jefferson County, Mississippi	7,260	7,249	7,156	7,087
.Jefferson Davis County, Mississippi	11,323	11,271	11,158	11,088
.Jones County, Mississippi	67,248	67,163	66,839	66,569
.Kemper County, Mississippi	8,981	8,956	8,781	8,654
.Lafayette County, Mississippi	55,812	55,907	56,857	57,615
.Lamar County, Mississippi	64,223	64,384	65,395	65,783
.Lauderdale County, Mississippi	72,983	72,672	71,871	70,904
.Lawrence County, Mississippi	12,015	11,982	11,774	11,713
.Leake County, Mississippi	21,272	21,245	21,247	21,135
.Lee County, Mississippi	83,347	83,310	83,043	82,959
.Leflore County, Mississippi	28,348	28,191	27,398	26,570
.Lincoln County, Mississippi	34,906	34,822	34,907	34,717
.Lowndes County, Mississippi	58,882	58,767	58,129	57,603
.Madison County, Mississippi	109,149	109,251	109,919	111,113
.Marion County, Mississippi	24,438	24,370	24,271	24,050
.Marshall County, Mississippi	33,755	33,778	33,820	34,110
.Monroe County, Mississippi	34,179	34,138	33,913	33,577
